id,data_criacao,tipo_chamado,dias_problema,risco_vida_humana,risco_vida_animal,bloqueio_via,urgencia
BCS-00107053,2025-10-25 10:26:02.084239+00:00,Problema com Animal Selvagem,171,Sim,Não,Sim,URGENTE
BCS-00107055,2025-10-25 10:28:43.641000+00:00,Problema com Animal Selvagem,171,Não,Não,Não,MEDIA
BCS-00107056,2025-10-25 10:32:46.195000+00:00,Problema com Animal Selvagem,171,Não,Sim,Sim,URGENTE
BCS-00107066,2025-10-25 11:02:47.497000+00:00,Outros Problemas com Postes,171,Sim,Sim,Sim,URGENTE
BCS-00107082,2025-10-25 11:42:03.495000+00:00,Problema com Animal Doméstico,171,Não,Sim,Sim,URGENTE
BCS-00107085,2025-10-25 11:48:00.142000+00:00,Luz Queimada Poste,171,Não,Não,Sim,URGENTE
BCS-00107096,2025-10-25 12:24:41.638000+00:00,Problema com Animal Doméstico,171,Sim,Sim,Sim,URGENTE
BCS-00107098,2025-10-25 12:40:13.631000+00:00,Problema com Animal Selvagem,171,Não,Sim,Sim,URGENTE
BCS-00107099,2025-10-25 13:07:30.420000+00:00,Problema com Animal Doméstico,171,Não,Sim,Sim,URGENTE
BCS-00107107,2025-10-25 13:31:27.981000+00:00,Problema com Animal Doméstico,171,Sim,Não,Sim,URGENTE
BCS-00107109,2025-10-25 13:49:27.231000+00:00,Luz Queimada Poste,171,Sim,Não,Sim,URGENTE
BCS-00107111,2025-10-25 13:58:36.619000+00:00,Problema com Animal Selvagem,171,Sim,Não,Sim,URGENTE
BCS-00107117,2025-10-25 14:37:53.979000+00:00,Problema com Animal Doméstico,171,Sim,Não,Não,URGENTE
BCS-00107123,2025-10-25 15:14:00.167000+00:00,Problema com Animal Selvagem,171,Sim,Não,Sim,URGENTE
BCS-00107139,2025-10-25 16:31:58.103929+00:00,Problema com Animal Selvagem,171,Não,Não,Não,MEDIA
BCS-00107149,2025-10-25 17:16:41.889863+00:00,Problema com Animal Doméstico,171,Não,Não,Não,MEDIA
BCS-00107153,2025-10-25 17:48:53.738000+00:00,Problema com Animal Doméstico,171,Não,Sim,Sim,URGENTE
BCS-00171272,2026-03-05 07:28:44.665906+00:00,Luz Queimada Poste,40,Não,Não,Não,BAIXA
BCS-00107157,2025-10-25 18:36:20.258849+00:00,Luz Queimada Poste,171,Sim,Sim,Sim,URGENTE
BCS-00107158,2025-10-25 18:36:56.601129+00:00,Luz Queimada Poste,171,Sim,Não,Não,URGENTE
BCS-00107159,2025-10-25 19:08:57.070774+00:00,Luz Queimada Poste,171,Não,Não,Não,MEDIA
BCS-00107175,2025-10-25 21:55:58.275000+00:00,Problema com Animal Doméstico,171,Sim,Não,Não,URGENTE
BCS-00107181,2025-10-25 22:44:00.352000+00:00,Problema com Animal Doméstico,171,Não,Não,Sim,ALTA
BCS-00107315,2025-10-26 15:14:39.066000+00:00,Outros Problemas com Postes,170,Sim,Não,Sim,URGENTE
BCS-00107318,2025-10-26 15:41:35.718000+00:00,Outros Problemas com Postes,170,Não,Sim,Não,MEDIA
BCS-00107332,2025-10-26 16:51:48.902000+00:00,Animal Perdido,170,Não,Não,Não,MEDIA
BCS-00107349,2025-10-26 18:13:03.428941+00:00,Luz Queimada Poste,170,Sim,Sim,Não,URGENTE
BCS-00107351,2025-10-26 18:18:08.841151+00:00,Luz Queimada Poste,170,Sim,Sim,Não,URGENTE
BCS-00107361,2025-10-26 18:53:40.215000+00:00,Luz Queimada Poste,170,Não,Sim,Sim,URGENTE
BCS-00107362,2025-10-26 18:58:10.972007+00:00,Luz Queimada Poste,170,Não,Não,Não,MEDIA
BCS-00107363,2025-10-26 19:09:50.664275+00:00,Luz Queimada Poste,170,Sim,Não,Sim,URGENTE
BCS-00107374,2025-10-26 19:58:48.987733+00:00,Luz Queimada Poste,170,Não,Não,Não,MEDIA
BCS-00107375,2025-10-26 19:59:40.714000+00:00,Luz Queimada Poste,170,Sim,Não,Não,URGENTE
BCS-00107378,2025-10-26 20:04:37.511663+00:00,Luz Queimada Poste,170,Não,Sim,Não,MEDIA
BCS-00107381,2025-10-26 20:09:02.217000+00:00,Problema com Animal Doméstico,170,Sim,Sim,Não,URGENTE
BCS-00107384,2025-10-26 21:20:26.663031+00:00,Luz Queimada Poste,170,Não,Sim,Sim,URGENTE
BCS-00107386,2025-10-26 21:23:51.730000+00:00,Problema com Animal Selvagem,170,Não,Não,Não,MEDIA
BCS-00107391,2025-10-26 22:34:09.712000+00:00,Luz Queimada Poste,170,Sim,Sim,Sim,URGENTE
BCS-00107393,2025-10-27 01:14:53.376000+00:00,Animal Perdido,170,Não,Não,Não,MEDIA
BCS-00107396,2025-10-27 06:07:48.932422+00:00,Luz Queimada Poste,169,Sim,Sim,Sim,URGENTE
BCS-00107422,2025-10-27 08:17:59.148000+00:00,Problema com Animal Doméstico,169,Sim,Não,Não,URGENTE
BCS-00107447,2025-10-27 08:45:55.305000+00:00,Outros Problemas com Postes,169,Sim,Sim,Sim,URGENTE
BCS-00107484,2025-10-27 09:25:25.124998+00:00,Problema com Animal Doméstico,169,Não,Sim,Não,ALTA
BCS-00106967,2025-10-24 18:50:55.271388+00:00,Luz Queimada Poste,172,Não,Não,Sim,URGENTE
BCS-00106968,2025-10-24 18:53:21.815299+00:00,Luz Queimada Poste,172,Sim,Sim,Sim,URGENTE
BCS-00106969,2025-10-24 18:55:16.901000+00:00,Luz Queimada Poste,172,Não,Sim,Não,MEDIA
BCS-00106975,2025-10-24 20:10:38.094083+00:00,Luz Queimada Poste,172,Não,Não,Sim,URGENTE
BCS-00106977,2025-10-24 20:15:30.121000+00:00,Luz Queimada Poste,172,Sim,Sim,Sim,URGENTE
BCS-00106980,2025-10-24 20:25:37.200000+00:00,Luz Queimada Poste,172,Não,Sim,Sim,URGENTE
BCS-00106994,2025-10-24 20:45:28.682000+00:00,Problema com Animal Selvagem,172,Não,Não,Sim,ALTA
BCS-00107200,2025-10-26 01:02:30.324000+00:00,Problema com Animal Selvagem,171,Não,Sim,Não,URGENTE
BCS-00107225,2025-10-26 08:53:10.546000+00:00,Problema com Animal Doméstico,170,Sim,Não,Não,URGENTE
BCS-00107227,2025-10-26 09:04:52.290000+00:00,Problema com Animal Doméstico,170,Não,Não,Sim,ALTA
BCS-00107233,2025-10-26 09:53:59.114000+00:00,Outros Problemas com Postes,170,Não,Sim,Sim,URGENTE
BCS-00107237,2025-10-26 10:10:40.088107+00:00,Problema com Animal Selvagem,170,Não,Não,Sim,ALTA
BCS-00107244,2025-10-26 10:32:23.332000+00:00,Problema com Animal Doméstico,170,Não,Sim,Não,ALTA
BCS-00107243,2025-10-26 10:32:24.631159+00:00,Animal Perdido,170,Não,Não,Não,MEDIA
BCS-00107247,2025-10-26 10:50:26.581000+00:00,Animal Perdido,170,Não,Sim,Não,ALTA
BCS-00107248,2025-10-26 10:58:36.281000+00:00,Problema com Animal Selvagem,170,Não,Sim,Sim,URGENTE
BCS-00107257,2025-10-26 11:43:08.655977+00:00,Luz Queimada Poste,170,Não,Não,Sim,URGENTE
BCS-00107263,2025-10-26 11:53:25.404000+00:00,Problema com Animal Selvagem,170,Sim,Não,Sim,URGENTE
BCS-00107281,2025-10-26 13:05:50.276000+00:00,Problema com Animal Doméstico,170,Sim,Não,Não,URGENTE
BCS-00107687,2025-10-27 12:48:44.904964+00:00,Problema com Animal Doméstico,169,Não,Sim,Sim,URGENTE
BCS-00107615,2025-10-27 11:35:23.916012+00:00,Luz Queimada Poste,169,Sim,Sim,Não,URGENTE
BCS-00107713,2025-10-27 13:09:25.561000+00:00,Outros Problemas com Postes,169,Não,Sim,Não,MEDIA
BCS-00107778,2025-10-27 14:37:10.293000+00:00,Animal Perdido,169,Não,Sim,Não,URGENTE
BCS-00107746,2025-10-27 14:01:31.790121+00:00,Luz Queimada Poste,169,Sim,Sim,Não,URGENTE
BCS-00107879,2025-10-27 16:53:58.716000+00:00,Outros Problemas com Postes,169,Não,Sim,Não,ALTA
BCS-00107887,2025-10-27 17:40:58.925000+00:00,Problema com Animal Doméstico,169,Não,Sim,Sim,URGENTE
BCS-00107888,2025-10-27 17:45:46.794810+00:00,Árvore ou Galhos Caídos,169,Não,Sim,Sim,URGENTE
BCS-00107889,2025-10-27 17:46:57.358512+00:00,Remoção de Árvore ou Tocos,169,Sim,Sim,Sim,URGENTE
BCS-00107890,2025-10-27 17:47:52.386130+00:00,Solicitação de Poda,169,Não,Sim,Não,MEDIA
BCS-00107891,2025-10-27 17:49:38.823486+00:00,Remoção de Árvore ou Tocos,169,Não,Não,Não,MEDIA
BCS-00107896,2025-10-27 17:57:31.100000+00:00,Animal Perdido,169,Sim,Sim,Não,URGENTE
BCS-00107899,2025-10-27 18:03:33.577000+00:00,Problema com Animal Doméstico,169,Não,Sim,Sim,URGENTE
BCS-00107898,2025-10-27 18:05:40.851102+00:00,Luz Queimada Poste,169,Não,Não,Sim,URGENTE
BCS-00107901,2025-10-27 18:11:03.634716+00:00,Luz Queimada Poste,169,Sim,Não,Não,URGENTE
BCS-00107907,2025-10-27 18:34:33+00:00,Luz Queimada Poste,169,Não,Sim,Sim,URGENTE
BCS-00107906,2025-10-27 18:43:09.959000+00:00,Luz Queimada Poste,169,Não,Sim,Sim,URGENTE
BCS-00107910,2025-10-27 18:52:50.690042+00:00,Luz Queimada Poste,169,Sim,Sim,Sim,URGENTE
BCS-00107912,2025-10-27 18:58:42.896000+00:00,Luz Queimada Poste,169,Sim,Sim,Não,URGENTE
BCS-00107911,2025-10-27 18:59:33.943718+00:00,Luz Queimada Poste,169,Sim,Sim,Não,URGENTE
BCS-00107914,2025-10-27 19:01:16.466000+00:00,Luz Queimada Poste,169,Sim,Não,Sim,URGENTE
BCS-00107918,2025-10-27 19:31:27.880680+00:00,Luz Queimada Poste,169,Não,Sim,Sim,URGENTE
BCS-00107919,2025-10-27 19:37:07.904247+00:00,Luz Queimada Poste,169,Sim,Não,Não,URGENTE
BCS-00107949,2025-10-27 20:08:39.372000+00:00,Problema com Animal Selvagem,169,Sim,Não,Sim,URGENTE
BCS-00107952,2025-10-27 20:29:25.280000+00:00,Problema com Animal Doméstico,169,Não,Não,Não,ALTA
BCS-00107964,2025-10-27 20:57:35.609401+00:00,Luz Queimada Poste,169,Sim,Não,Sim,URGENTE
BCS-00107969,2025-10-27 21:09:38.004691+00:00,Luz Queimada Poste,169,Sim,Sim,Não,URGENTE
BCS-00107979,2025-10-28 00:09:36.869302+00:00,Luz Queimada Poste,169,Não,Sim,Não,ALTA
BCS-00107981,2025-10-28 01:14:59.885722+00:00,Poste caido,169,Sim,Sim,Sim,URGENTE
BCS-00107984,2025-10-28 05:14:56.924000+00:00,Poste caido,168,Não,Sim,Não,URGENTE
BCS-00107989,2025-10-28 07:12:46.669000+00:00,Problema com Animal Selvagem,168,Não,Não,Não,ALTA
BCS-00107833,2025-10-27 15:13:00.485000+00:00,Outros Problemas com Postes,169,Não,Sim,Sim,URGENTE
BCS-00107810,2025-10-27 15:19:04.192000+00:00,Luz Queimada Poste,169,Não,Sim,Não,ALTA
BCS-00107824,2025-10-27 15:26:18.456000+00:00,Luz Queimada Poste,169,Sim,Não,Não,URGENTE
BCS-00107857,2025-10-27 16:08:32.200000+00:00,Problema com Animal Doméstico,169,Sim,Não,Sim,URGENTE
BCS-00108007,2025-10-28 08:30:22.603455+00:00,Solicitação de Poda,168,Sim,Sim,Não,URGENTE
BCS-00108009,2025-10-28 08:32:16.327122+00:00,Árvore ou Galhos Caídos,168,Não,Não,Não,MEDIA
BCS-00108011,2025-10-28 08:33:18.395394+00:00,Árvore ou Galhos Caídos,168,Sim,Não,Não,URGENTE
BCS-00108016,2025-10-28 08:40:31.237657+00:00,Árvore ou Galhos Caídos,168,Sim,Não,Não,URGENTE
BCS-00108081,2025-10-28 09:39:30.603000+00:00,Luz Queimada Poste,168,Sim,Não,Sim,URGENTE
BCS-00108102,2025-10-28 09:54:17.438000+00:00,Luz Queimada Poste,168,Sim,Sim,Não,URGENTE
BCS-00108104,2025-10-28 09:55:56.289000+00:00,Problema com Animal Doméstico,168,Sim,Sim,Sim,URGENTE
BCS-00108022,2025-10-28 08:49:59.100704+00:00,Problema com Animal Doméstico,168,Não,Não,Sim,ALTA
BCS-00108029,2025-10-28 08:51:35.904000+00:00,Luz Queimada Poste,168,Sim,Não,Não,URGENTE
BCS-00108125,2025-10-28 10:19:31.307000+00:00,Remoção de Árvore ou Tocos,168,Não,Não,Sim,URGENTE
BCS-00108203,2025-10-28 11:19:40.814000+00:00,Solicitação de Poda,168,Sim,Não,Não,URGENTE
BCS-00108360,2025-10-28 13:33:07.728000+00:00,Solicitação de Poda,168,Não,Sim,Não,ALTA
BCS-00108251,2025-10-28 12:13:44.955271+00:00,Solicitação de Plantio,168,Não,Não,Não,MEDIA
BCS-00108253,2025-10-28 12:16:29.155407+00:00,Remoção de Árvore ou Tocos,168,Sim,Não,Não,ALTA
BCS-00108255,2025-10-28 12:16:55.255420+00:00,Remoção de Árvore ou Tocos,168,Sim,Sim,Sim,URGENTE
BCS-00108258,2025-10-28 12:17:52.969290+00:00,Solicitação de Poda,168,Sim,Sim,Sim,URGENTE
BCS-00108262,2025-10-28 12:20:39.235232+00:00,Remoção de Árvore ou Tocos,168,Não,Sim,Não,ALTA
BCS-00108217,2025-10-28 11:34:41.483049+00:00,Solicitação de Poda,168,Não,Não,Não,MEDIA
BCS-00108266,2025-10-28 12:22:36.650634+00:00,Remoção de Árvore ou Tocos,168,Sim,Não,Sim,URGENTE
BCS-00108439,2025-10-28 14:34:33.510461+00:00,Árvore ou Galhos Caídos,168,Sim,Sim,Não,URGENTE
BCS-00108434,2025-10-28 14:17:27.719000+00:00,Solicitação de Poda,168,Sim,Sim,Não,URGENTE
BCS-00108424,2025-10-28 14:18:38.009000+00:00,Luz Queimada Poste,168,Sim,Não,Não,URGENTE
BCS-00108426,2025-10-28 14:20:28.664000+00:00,Outros Problemas com Postes,168,Sim,Não,Sim,URGENTE
BCS-00108553,2025-10-28 16:10:39.020000+00:00,Árvore ou Galhos Caídos,168,Sim,Sim,Sim,URGENTE
BCS-00108552,2025-10-28 16:10:45.521000+00:00,Problema com Animal Selvagem,168,Sim,Sim,Não,URGENTE
BCS-00108638,2025-10-28 17:48:37.845000+00:00,Problema com Animal Selvagem,168,Não,Não,Sim,ALTA
BCS-00108629,2025-10-28 17:52:18.611036+00:00,Problema com Animal Doméstico,168,Não,Sim,Não,URGENTE
BCS-00108557,2025-10-28 16:20:52.082692+00:00,Árvore ou Galhos Caídos,168,Não,Não,Sim,URGENTE
BCS-00108573,2025-10-28 16:25:46.424000+00:00,Problema com Animal Selvagem,168,Não,Não,Não,MEDIA
BCS-00108569,2025-10-28 16:26:09.491000+00:00,Problema com Animal Selvagem,168,Sim,Sim,Não,URGENTE
BCS-00108572,2025-10-28 16:29:27.772314+00:00,Remoção de Árvore ou Tocos,168,Sim,Sim,Não,URGENTE
BCS-00108591,2025-10-28 16:36:56.158000+00:00,Problema com Animal Selvagem,168,Sim,Não,Sim,URGENTE
BCS-00108592,2025-10-28 16:40:21.891000+00:00,Problema com Animal Selvagem,168,Sim,Sim,Sim,URGENTE
BCS-00108607,2025-10-28 16:55:52.651666+00:00,Problema com Animal Doméstico,168,Sim,Sim,Não,URGENTE
BCS-00108643,2025-10-28 18:19:12.943179+00:00,Luz Queimada Poste,168,Não,Não,Sim,URGENTE
BCS-00108652,2025-10-28 18:49:35.590000+00:00,Luz Queimada Poste,168,Sim,Sim,Sim,URGENTE
BCS-00108653,2025-10-28 18:55:28.117342+00:00,Luz Queimada Poste,168,Sim,Sim,Sim,URGENTE
BCS-00108658,2025-10-28 19:13:37.222000+00:00,Problema com Animal Doméstico,168,Não,Sim,Não,ALTA
BCS-00108671,2025-10-28 20:36:36.904000+00:00,Problema com Animal Doméstico,168,Sim,Sim,Sim,URGENTE
BCS-00163851,2026-02-23 07:18:55.805000+00:00,Outros Problemas com Postes,50,Não,Não,Não,ALTA
BCS-00108688,2025-10-28 21:10:46.254939+00:00,Luz Queimada Poste,168,Não,Sim,Sim,URGENTE
BCS-00108689,2025-10-28 21:12:07.865365+00:00,Luz Queimada Poste,168,Não,Não,Não,ALTA
BCS-00108694,2025-10-28 22:00:43.557585+00:00,Luz Queimada Poste,168,Não,Não,Sim,URGENTE
BCS-00108619,2025-10-28 17:23:13.403000+00:00,Problema com Animal Selvagem,168,Não,Não,Não,MEDIA
BCS-00108725,2025-10-29 06:47:07.555482+00:00,Luz Queimada Poste,167,Não,Sim,Não,ALTA
BCS-00108700,2025-10-28 22:35:26.060047+00:00,Problema com Animal Doméstico,168,Não,Sim,Sim,URGENTE
BCS-00108708,2025-10-29 00:30:08.477000+00:00,Outros Problemas com Postes,168,Não,Não,Sim,URGENTE
BCS-00108750,2025-10-29 08:21:58.181534+00:00,Árvore ou Galhos Caídos,167,Sim,Sim,Sim,URGENTE
BCS-00108755,2025-10-29 08:30:21.777639+00:00,Problema com Animal Selvagem,167,Não,Não,Não,ALTA
BCS-00108778,2025-10-29 08:58:43.679000+00:00,Luz Queimada Poste,167,Sim,Não,Sim,URGENTE
BCS-00108781,2025-10-29 09:11:11.776000+00:00,Luz Queimada Poste,167,Não,Não,Sim,URGENTE
BCS-00108860,2025-10-29 10:17:31.259000+00:00,Árvore ou Galhos Caídos,167,Não,Não,Sim,URGENTE
BCS-00108314,2025-10-28 13:01:41.595645+00:00,Árvore ou Galhos Caídos,168,Não,Sim,Sim,URGENTE
BCS-00108897,2025-10-29 11:12:05.920000+00:00,Luz Queimada Poste,167,Não,Sim,Sim,URGENTE
BCS-00108899,2025-10-29 11:14:26.524182+00:00,Luz Queimada Poste,167,Não,Sim,Não,ALTA
BCS-00109041,2025-10-29 14:08:53.614000+00:00,Árvore ou Galhos Caídos,167,Sim,Sim,Não,URGENTE
BCS-00108943,2025-10-29 12:10:32.408000+00:00,Poste caido,167,Não,Não,Não,MEDIA
BCS-00108973,2025-10-29 12:39:23.997000+00:00,Luz Queimada Poste,167,Sim,Não,Sim,URGENTE
BCS-00108995,2025-10-29 13:09:19.385000+00:00,Problema com Animal Selvagem,167,Não,Sim,Não,ALTA
BCS-00108991,2025-10-29 13:09:31.611785+00:00,Problema com Animal Selvagem,167,Não,Não,Sim,ALTA
BCS-00109049,2025-10-29 14:25:07.774244+00:00,Luz Queimada Poste,167,Não,Sim,Não,URGENTE
BCS-00109054,2025-10-29 14:33:16.384193+00:00,Problema com Animal Selvagem,167,Não,Sim,Não,ALTA
BCS-00109003,2025-10-29 13:20:12.639000+00:00,Luz Queimada Poste,167,Não,Sim,Não,ALTA
BCS-00109204,2025-10-29 21:04:07.488617+00:00,Luz Queimada Poste,167,Sim,Não,Sim,URGENTE
BCS-00109213,2025-10-29 21:22:29.580415+00:00,Luz Queimada Poste,167,Não,Não,Não,MEDIA
BCS-00109214,2025-10-29 21:26:28.369211+00:00,Luz Queimada Poste,167,Sim,Sim,Sim,URGENTE
BCS-00109093,2025-10-29 15:25:37.919502+00:00,Luz Queimada Poste,167,Não,Não,Sim,URGENTE
BCS-00109099,2025-10-29 15:30:31.258000+00:00,Remoção de Árvore ou Tocos,167,Sim,Não,Não,URGENTE
BCS-00109104,2025-10-29 15:31:34.836000+00:00,Solicitação de Poda,167,Sim,Não,Não,URGENTE
BCS-00109124,2025-10-29 16:02:56.953114+00:00,Árvore ou Galhos Caídos,167,Sim,Não,Não,URGENTE
BCS-00109222,2025-10-29 21:47:08.057948+00:00,Solicitação de Poda,167,Não,Sim,Sim,URGENTE
BCS-00109223,2025-10-29 21:47:18.900000+00:00,Problema com Animal Doméstico,167,Não,Não,Sim,ALTA
BCS-00109225,2025-10-29 22:10:46.152000+00:00,Luz Queimada Poste,167,Sim,Sim,Não,URGENTE
BCS-00109230,2025-10-29 22:35:27.468000+00:00,Problema com Animal Doméstico,167,Não,Sim,Não,ALTA
BCS-00109235,2025-10-30 06:20:17.609568+00:00,Luz Queimada Poste,166,Não,Sim,Não,MEDIA
BCS-00109243,2025-10-30 06:56:54.424000+00:00,Luz Queimada Poste,166,Sim,Não,Não,URGENTE
BCS-00109262,2025-10-30 08:22:00.572000+00:00,Árvore ou Galhos Caídos,166,Sim,Não,Não,URGENTE
BCS-00109273,2025-10-30 08:53:01.190944+00:00,Problema com Animal Selvagem,166,Não,Sim,Sim,URGENTE
BCS-00109278,2025-10-30 09:00:03.150000+00:00,Árvore ou Galhos Caídos,166,Sim,Sim,Não,URGENTE
BCS-00109285,2025-10-30 09:13:29.390705+00:00,Árvore ou Galhos Caídos,166,Sim,Sim,Sim,URGENTE
BCS-00109289,2025-10-30 09:22:57.877262+00:00,Árvore ou Galhos Caídos,166,Não,Sim,Não,MEDIA
BCS-00109466,2025-10-30 12:25:10.501000+00:00,Solicitação de Poda,166,Sim,Não,Não,URGENTE
BCS-00109482,2025-10-30 12:40:49.230000+00:00,Outros Problemas com Postes,166,Não,Sim,Sim,URGENTE
BCS-00109619,2025-10-30 15:14:40.921783+00:00,Solicitação de Poda,166,Não,Sim,Sim,URGENTE
BCS-00109546,2025-10-30 13:49:43.486968+00:00,Problema com Animal Doméstico,166,Sim,Não,Sim,URGENTE
BCS-00109582,2025-10-30 14:05:18.615000+00:00,Solicitação de Poda,166,Não,Não,Não,MEDIA
BCS-00109691,2025-10-30 16:26:19.213771+00:00,Luz Queimada Poste,166,Não,Não,Não,ALTA
BCS-00109702,2025-10-30 16:34:30.463652+00:00,Luz Queimada Poste,166,Não,Sim,Sim,URGENTE
BCS-00109729,2025-10-30 17:37:10.280000+00:00,Problema com Animal Selvagem,166,Sim,Não,Não,URGENTE
BCS-00109735,2025-10-30 17:47:49.677000+00:00,Problema com Animal Doméstico,166,Não,Sim,Sim,URGENTE
BCS-00109741,2025-10-30 17:56:00.775000+00:00,Luz Queimada Poste,166,Sim,Não,Sim,URGENTE
BCS-00109655,2025-10-30 15:51:17.954597+00:00,Luz Queimada Poste,166,Sim,Não,Não,URGENTE
BCS-00167429,2026-02-26 05:22:29.593706+00:00,Luz Queimada Poste,47,Não,Não,Não,ALTA
BCS-00109754,2025-10-30 18:27:27.513000+00:00,Árvore ou Galhos Caídos,166,Não,Não,Sim,URGENTE
BCS-00170580,2026-03-03 18:36:48.532184+00:00,Luz Queimada Poste,42,Não,Não,Sim,ALTA
BCS-00109757,2025-10-30 18:49:46.021000+00:00,Luz Queimada Poste,166,Sim,Não,Não,URGENTE
BCS-00109760,2025-10-30 18:56:19.335000+00:00,Poste caido,166,Não,Sim,Sim,URGENTE
BCS-00109761,2025-10-30 18:57:46.955000+00:00,Árvore ou Galhos Caídos,166,Não,Sim,Não,URGENTE
BCS-00109770,2025-10-30 19:27:43.798000+00:00,Problema com Animal Doméstico,166,Não,Não,Sim,ALTA
BCS-00109776,2025-10-30 19:34:15.376000+00:00,Árvore ou Galhos Caídos,166,Não,Não,Sim,URGENTE
BCS-00109880,2025-10-31 09:24:52.474437+00:00,Luz Queimada Poste,165,Sim,Não,Sim,URGENTE
BCS-00109773,2025-10-30 19:35:19.793106+00:00,Luz Queimada Poste,166,Sim,Não,Não,URGENTE
BCS-00109775,2025-10-30 19:39:16.253675+00:00,Luz Queimada Poste,166,Sim,Sim,Não,URGENTE
BCS-00109783,2025-10-30 20:37:26.828709+00:00,Luz Queimada Poste,166,Sim,Sim,Sim,URGENTE
BCS-00109784,2025-10-30 20:37:31.692359+00:00,Problema com Animal Doméstico,166,Não,Não,Não,ALTA
BCS-00109787,2025-10-30 20:50:35.969408+00:00,Luz Queimada Poste,166,Sim,Sim,Sim,URGENTE
BCS-00109791,2025-10-30 21:18:36.893000+00:00,Árvore ou Galhos Caídos,166,Sim,Sim,Sim,URGENTE
BCS-00109790,2025-10-30 21:20:26.991880+00:00,Árvore ou Galhos Caídos,166,Sim,Sim,Não,URGENTE
BCS-00109794,2025-10-30 21:37:26.059668+00:00,Luz Queimada Poste,166,Sim,Sim,Não,URGENTE
BCS-00109795,2025-10-30 21:40:49.401798+00:00,Árvore ou Galhos Caídos,166,Sim,Sim,Sim,URGENTE
BCS-00109799,2025-10-30 22:13:28.819000+00:00,Problema com Animal Doméstico,166,Não,Sim,Não,ALTA
BCS-00109809,2025-10-31 03:56:46.904000+00:00,Árvore ou Galhos Caídos,165,Não,Sim,Sim,URGENTE
BCS-00109815,2025-10-31 05:48:52.900391+00:00,Árvore ou Galhos Caídos,165,Não,Não,Sim,URGENTE
BCS-00109816,2025-10-31 05:53:53.518475+00:00,Remoção de Árvore ou Tocos,165,Sim,Sim,Sim,URGENTE
BCS-00109818,2025-10-31 06:22:05.444285+00:00,Árvore ou Galhos Caídos,165,Sim,Não,Não,URGENTE
BCS-00109819,2025-10-31 06:34:22.177064+00:00,Árvore ou Galhos Caídos,165,Não,Sim,Sim,URGENTE
BCS-00109820,2025-10-31 06:42:07.308268+00:00,Árvore ou Galhos Caídos,165,Sim,Sim,Sim,URGENTE
BCS-00109822,2025-10-31 06:47:36.440000+00:00,Árvore ou Galhos Caídos,165,Sim,Não,Não,URGENTE
BCS-00109821,2025-10-31 06:47:40.365753+00:00,Árvore ou Galhos Caídos,165,Não,Sim,Sim,URGENTE
BCS-00109823,2025-10-31 06:53:16.060619+00:00,Árvore ou Galhos Caídos,165,Não,Não,Não,ALTA
BCS-00109827,2025-10-31 07:16:29.561913+00:00,Árvore ou Galhos Caídos,165,Não,Sim,Não,URGENTE
BCS-00109893,2025-10-31 09:39:01.227000+00:00,Árvore ou Galhos Caídos,165,Sim,Não,Sim,URGENTE
BCS-00109908,2025-10-31 10:06:58.924000+00:00,Problema com Animal Selvagem,165,Sim,Não,Sim,URGENTE
BCS-00109130,2025-10-29 16:09:52.816000+00:00,Animal Perdido,167,Sim,Não,Não,URGENTE
BCS-00109915,2025-10-31 10:15:36.149976+00:00,Árvore ou Galhos Caídos,165,Sim,Não,Não,URGENTE
BCS-00109932,2025-10-31 10:31:49.854000+00:00,Árvore ou Galhos Caídos,165,Sim,Não,Não,URGENTE
BCS-00109941,2025-10-31 10:46:18.284000+00:00,Problema com Animal Doméstico,165,Sim,Não,Não,URGENTE
BCS-00109944,2025-10-31 10:51:51.147373+00:00,Árvore ou Galhos Caídos,165,Não,Não,Sim,URGENTE
BCS-00109835,2025-10-31 08:09:09.881530+00:00,Árvore ou Galhos Caídos,165,Não,Sim,Sim,URGENTE
BCS-00109837,2025-10-31 08:10:25.529111+00:00,Árvore ou Galhos Caídos,165,Não,Sim,Não,ALTA
BCS-00109838,2025-10-31 08:12:50.573515+00:00,Árvore ou Galhos Caídos,165,Não,Sim,Não,MEDIA
BCS-00109842,2025-10-31 08:17:59.385379+00:00,Remoção de Árvore ou Tocos,165,Não,Não,Não,MEDIA
BCS-00109852,2025-10-31 08:28:18.076000+00:00,Árvore ou Galhos Caídos,165,Não,Sim,Não,ALTA
BCS-00109851,2025-10-31 08:32:36.948503+00:00,Árvore ou Galhos Caídos,165,Não,Sim,Não,MEDIA
BCS-00109869,2025-10-31 09:07:36.259000+00:00,Poste caido,165,Não,Não,Sim,URGENTE
BCS-00109871,2025-10-31 09:15:08.689653+00:00,Solicitação de Poda,165,Sim,Sim,Sim,URGENTE
BCS-00109872,2025-10-31 09:15:52.835309+00:00,Luz Queimada Poste,165,Não,Sim,Não,URGENTE
BCS-00109878,2025-10-31 09:17:30.855000+00:00,Outros Problemas com Postes,165,Não,Sim,Não,ALTA
BCS-00109985,2025-10-31 11:29:08.073224+00:00,Árvore ou Galhos Caídos,165,Sim,Sim,Não,URGENTE
BCS-00109954,2025-10-31 11:02:56.420603+00:00,Poste caido,165,Não,Sim,Não,MEDIA
BCS-00109961,2025-10-31 11:09:12.547000+00:00,Problema com Animal Doméstico,165,Sim,Não,Não,URGENTE
